states,x,y
Andhra Pradesh,-51,-118
Arunachal Pradesh,223,112
Assam,197,79
Bihar,58,69
Chhattisgarh,8,12
Goa,-153,-142
Gujarat,-198,9
Haryana,-109,137
Himachal Pradesh,-95,199
Jharkhand,54,23
Karnataka,-124,-157
Kerala,-113,-225
Madhya Pradesh,-82,20
Maharashtra,-132,-57
Manipur,218,43
Meghalaya,159,65
Mizoram,197,9
Nagaland,230,74
Odisha,33,-39
Punjab,-132,178
Rajasthan,-199,88
Sikkim,118,109
Tamil Nadu,-73,-228
Telangana,-23,-106
Tripura,175,25
Uttar Pradesh,-38,97
Uttarakhand,-65,165
West Bengal,111,12
Andaman and Nicobar Islands,95,-186
Chandigarh,-7,-20
Dadra & Nagar Haveli and Daman & Diu,-216,-24
Delhi,-93,127
Jammu and Kashmir,-144,243
Lakshadweep,-214,-190
Puducherry,-47,-201
Ladakh,-71,245
